date,pcr_count,,,,,,,
08/02/2021,14402,,,,,,,
07/02/2021,12145,,,,,,,
06/02/2021,15746,,,,,,,
05/02/2021,14749,,,,,,,
04/02/2021,12024,,,,,,,
03/02/2021,14860,,,,,,,
02/02/2021,13218,,,,,,,
01/02/2021,12340,,,,,,,
31/01/2021,13537,,,,,,,
30/01/2021,14316,,,,,,,
29/01/2021,16226,,,,,,,
28/01/2021,18132,,,,,,,
27/01/2021,19420,,,,,,,
26/01/2021,15259,,,,,,,
25/01/2021,16431,,,,,,,
24/01/2021,14947,,,,,,,
23/01/2021,17523,,,,,,,
22/01/2021,18515,,,,,,,
21/01/2021,19285,,,,,,,
20/01/2021,16108,,,,,,,
19/01/2021,18050,,,,,,,
18/01/2021,14294,,,,,,,
17/01/2021,14984,,,,,,,
16/01/2021,15218,,,,,,,
15/01/2021,13681,,,,,,,
14/01/2021,15146,,,,,,,
13/01/2021,14565,,,,,,,
12/01/2021,14329,,,,,,,
11/01/2021,12139,,,,,,,
10/01/2021,13224,,,,,,,
09/01/2021,16206,,,,,,,
08/01/2021,17217,,,,,,,
07/01/2021,16351,,,,,,,
06/01/2021,15041,,,,,,,
05/01/2021,12456,,,,,,,
04/01/2021,10774,,,,,,,
03/01/2021,12826,,,,,,,
02/01/2021,10719,,,,,,,
01/01/2021,14600,,,,,,,
31/12/2020,14243,,,,,,,
30/12/2020,12592,,,,,,,
29/12/2020,10564,,,,,,,
28/12/2020,8668,,,,,,,
27/12/2020,12222,,,,,,,
26/12/2020,11060,,,,,,,
25/12/2020,13516,,,,,,,
24/12/2020,14933,,,,,,,
23/12/2020,13853,,,,,,,
22/12/2020,13895,,,,,,,
21/12/2020,11672,,,,,,,
20/12/2020,10534,,,,,,,
19/12/2020,16603,,,,,,,
18/12/2020,16542,,,,,,,
17/12/2020,14024,,,,,,,
16/12/2020,13178,,,,,,,
15/12/2020,15273,,,,,,,
14/12/2020,9363,,,,,,,
13/12/2020,13479,,,,,,,
12/12/2020,15239,,,,,,,
11/12/2020,17425,,,,,,,
10/12/2020,13864,,,,,,,
09/12/2020,14416,,,,,,,
08/12/2020,14336,,,,,,,
07/12/2020,11182,,,,,,,
06/12/2020,13831,,,,,,,
05/12/2020,14125,,,,,,,
04/12/2020,13741,,,,,,,
03/12/2020,13598,,,,,,,
02/12/2020,13632,,,,,,,
01/12/2020,13423,,,,,,,
30/11/2020,7463,,,,,,,
29/11/2020,12031,,,,,,,
28/11/2020,13065,,,,,,,
27/11/2020,11936,,,,,,,
26/11/2020,13286,,,,,,,
25/11/2020,12105,,,,,,,
24/11/2020,10400,,,,,,,
23/11/2020,7467,,,,,,,
22/11/2020,10679,,,,,,,
21/11/2020,12095,,,,,,,
20/11/2020,11212,,,,,,,
19/11/2020,11398,,,,,,,
18/11/2020,10306,,,,,,,
17/11/2020,11105,,,,,,,
16/11/2020,8743,,,,,,,
15/11/2020,10713,,,,,,,
14/11/2020,11130,,,,,,,
13/11/2020,13671,,,,,,,
12/11/2020,9575,,,,,,,
11/11/2020,10111,,,,,,,
10/11/2020,10207,,,,,,,
09/11/2020,8272,,,,,,,
08/11/2020,7986,,,,,,,
07/11/2020,10632,,,,,,,
06/11/2020,11620,,,,,,,
05/11/2020,11824,,,,,,,
04/11/2020,11316,,,,,,,
03/11/2020,10655,,,,,,,
02/11/2020,9940,,,,,,,
01/11/2020,11713,,,,,,,
31/10/2020,11999,,,,,,,
30/10/2020,10173,,,,,,,
29/10/2020,9725,,,,,,,
28/10/2020,11552,,,,,,,
27/10/2020,8831,,,,,,,
26/10/2020,9619,,,,,,,
25/10/2020,8846,,,,,,,
24/10/2020,9189,,,,,,,
23/10/2020,9469,,,,,,,
22/10/2020,8089,,,,,,,
21/10/2020,8777,,,,,,,
20/10/2020,8270,,,,,,,
19/10/2020,7136,,,,,,,
18/10/2020,7099,,,,,,,
17/10/2020,9513,,,,,,,
16/10/2020,8589,,,,,,,
15/10/2020,8161,,,,,,,
14/10/2020,8789,,,,,,,
13/10/2020,6566,,,,,,,
12/10/2020,6591,,,,,,,
11/10/2020,7248,,,,,,,
10/10/2020,7495,,,,,,,
09/10/2020,7196,,,,,,,
08/10/2020,4824,,,,,,,
07/10/2020,5608,,,,,,,
06/10/2020,4880,,,,,,,
05/10/2020,1890,,,,,,,
04/10/2020,1148,,,,,,,
03/10/2020,2244,,,,,,,
02/10/2020,2114,,,,,,,
01/10/2020,1517,,,,,,,
30/09/2020,1724,,,,,,,
29/09/2020,2407,,,,,,,
28/09/2020,1398,,,,,,,
27/09/2020,1862,,,,,,,
26/09/2020,2457,,,,,,,
25/09/2020,1595,,,,,,,
24/09/2020,2555,,,,,,,
23/09/2020,1882,,,,,,,
22/09/2020,2827,,,,,,,
21/09/2020,1398,,,,,,,
20/09/2020,1112,,,,,,,
19/09/2020,2314,,,,,,,
18/09/2020,1714,,,,,,,
17/09/2020,1965,,,,,,,
16/09/2020,2600,,,,,,,
15/09/2020,2301,,,,,,,
14/09/2020,1434,,,,,,,
13/09/2020,2201,,,,,,,
12/09/2020,2050,,,,,,,
11/09/2020,2464,,,,,,,
10/09/2020,2440,,,,,,,
09/09/2020,1776,,,,,,,
08/09/2020,2128,,,,,,,
07/09/2020,1353,,,,,,,
06/09/2020,1724,,,,,,,
05/09/2020,2297,,,,,,,
04/09/2020,2389,,,,,,,
03/09/2020,2511,,,,,,,
02/09/2020,2163,,,,,,,
01/09/2020,2495,,,,,,,
31/08/2020,1941,,,,,,,
30/08/2020,2129,,,,,,,
29/08/2020,2072,,,,,,,
28/08/2020,2748,,,,,,,
27/08/2020,2853,,,,,,,
26/08/2020,2847,,,,,,,
25/08/2020,2372,,,,,,,
24/08/2020,2693,,,,,,,
23/08/2020,2690,,,,,,,
22/08/2020,2800,,,,,,,
21/08/2020,2759,,,,,,,
20/08/2020,2876,,,,,,,
19/08/2020,2247,,,,,,,
18/08/2020,3518,,,,,,,
17/08/2020,1989,,,,,,,
16/08/2020,1561,,,,,,,
15/08/2020,2839,,,,,,,
14/08/2020,2437,,,,,,,
13/08/2020,2732,,,,,,,
12/08/2020,2549,,,,,,,
11/08/2020,2909,,,,,,,
10/08/2020,1519,,,,,,,
09/08/2020,1803,,,,,,,
08/08/2020,1343,,,,,,,
07/08/2020,1069,,,,,,,
06/08/2020,1085,,,,,,,
05/08/2020,935,,,,,,,
04/08/2020,1395,,,,,,,
03/08/2020,1712,,,,,,,
02/08/2020,1540,,,,,,,
01/08/2020,1864,,,,,,,
31/07/2020,1600,,,,,,,
30/07/2020,1683,,,,,,,
29/07/2020,1403,,,,,,,
28/07/2020,1349,,,,,,,
27/07/2020,1126,,,,,,,
26/07/2020,1851,,,,,,,
25/07/2020,2018,,,,,,,
24/07/2020,1811,,,,,,,
23/07/2020,2012,,,,,,,
22/07/2020,1700,,,,,,,
21/07/2020,2158,,,,,,,
20/07/2020,1924,,,,,,,
19/07/2020,2184,,,,,,,
18/07/2020,1888,,,,,,,
17/07/2020,2723,,,,,,,
16/07/2020,2406,,,,,,,
15/07/2020,2470,,,,,,,
14/07/2020,2288,,,,,,,
13/07/2020,1310,,,,,,,
12/07/2020,2251,,,,,,,
11/07/2020,1341,,,,,,,
10/07/2020,1749,,,,,,,
09/07/2020,1424,,,,,,,
08/07/2020,1182,,,,,,,
07/07/2020,1610,,,,,,,
06/07/2020,1290,,,,,,,
05/07/2020,599,,,,,,,
04/07/2020,852,,,,,,,
03/07/2020,1519,,,,,,,
02/07/2020,1399,,,,,,,
01/07/2020,1296,,,,,,,
30/06/2020,1365,,,,,,,
29/06/2020,1340,,,,,,,
28/06/2020,833,,,,,,,
27/06/2020,1607,,,,,,,
26/06/2020,1439,,,,,,,
25/06/2020,1243,,,,,,,
24/06/2020,1349,,,,,,,
23/06/2020,1232,,,,,,,
22/06/2020,1134,,,,,,,
21/06/2020,1181,,,,,,,
20/06/2020,827,,,,,,,
19/06/2020,1495,,,,,,,
18/06/2020,1374,,,,,,,
17/06/2020,1381,,,,,,,
16/06/2020,1276,,,,,,,
15/06/2020,1651,,,,,,,
14/06/2020,1116,,,,,,,
13/06/2020,1165,,,,,,,
12/06/2020,1390,,,,,,,
11/06/2020,1677,,,,,,,
10/06/2020,1433,,,,,,,
09/06/2020,1579,,,,,,,
08/06/2020,1766,,,,,,,
07/06/2020,1718,,,,,,,
06/06/2020,1243,,,,,,,
05/06/2020,1816,,,,,,,
04/06/2020,1890,,,,,,,
03/06/2020,2086,,,,,,,
02/06/2020,1783,,,,,,,
01/06/2020,1066,,,,,,,
31/05/2020,1420,,,,,,,
30/05/2020,1727,,,,,,,
29/05/2020,1330,,,,,,,
28/05/2020,1713,,,,,,,
27/05/2020,1838,,,,,,,
26/05/2020,1146,,,,,,,
25/05/2020,1347,,,,,,,
24/05/2020,1742,,,,,,,
23/05/2020,1998,,,,,,,
22/05/2020,1970,,,,,,,
21/05/2020,1603,,,,,,,
20/05/2020,1108,,,,,,,
19/05/2020,1062,,,,,,,
18/05/2020,960,,,,,,,
17/05/2020,1254,,,,,,,
16/05/2020,1081,,,,,,,
15/05/2020,938,,,,,,,
14/05/2020,1489,,,,,,,
13/05/2020,889,,,,,,,
12/05/2020,1078,,,,,,,
11/05/2020,1057,,,,,,,
10/05/2020,1282,,,,,,,
09/05/2020,1424,,,,,,,
08/05/2020,1821,,,,,,,
07/05/2020,1553,,,,,,,
06/05/2020,1147,,,,,,,
05/05/2020,1491,,,,,,,
04/05/2020,1045,,,,,,,
03/05/2020,1636,,,,,,,
02/05/2020,1681,,,,,,,
01/05/2020,1107,,,,,,,
30/04/2020,1397,,,,,,,
29/04/2020,1545,,,,,,,
28/04/2020,1139,,,,,,,
27/04/2020,1869,,,,,,,
26/04/2020,1075,,,,,,,
25/04/2020,816,,,,,,,
24/04/2020,876,,,,,,,
23/04/2020,1141,,,,,,,
22/04/2020,774,,,,,,,
21/04/2020,650,,,,,,,
20/04/2020,642,,,,,,,
19/04/2020,702,,,,,,,
18/04/2020,522,,,,,,,
17/04/2020,710,,,,,,,
16/04/2020,548,,,,,,,
15/04/2020,465,,,,,,,
14/04/2020,342,,,,,,,
13/04/2020,431,,,,,,,
12/04/2020,609,,,,,,,
11/04/2020,393,,,,,,,
10/04/2020,397,,,,,,,
09/04/2020,287,,,,,,,
08/04/2020,376,,,,,,,
07/04/2020,353,,,,,,,
06/04/2020,394,,,,,,,
05/04/2020,324,,,,,,,
04/04/2020,295,,,,,,,
03/04/2020,311,,,,,,,
02/04/2020,250,,,,,,,
01/04/2020,219,,,,,,,
31/03/2020,224,,,,,,,
30/03/2020,155,,,,,,,
29/03/2020,136,,,,,,,
28/03/2020,108,,,,,,,
27/03/2020,152,,,,,,,
26/03/2020,131,,,,,,,
25/03/2020,128,,,,,,,
24/03/2020,164,,,,,,,
23/03/2020,143,,,,,,,
22/03/2020,174,,,,,,,
21/03/2020,149,,,,,,,
20/03/2020,119,,,,,,,
19/03/2020,162,,,,,,,
18/03/2020,108,,,,,,,
17/03/2020,151,,,,,,,
16/03/2020,89,,,,,,,
15/03/2020,65,,,,,,,
14/03/2020,88,,,,,,,
13/03/2020,25,,,,,,,
12/03/2020,17,,,,,,,
11/03/2020,10,,,,,,,
10/03/2020,12,,,,,,,
09/03/2020,1,,,,,,,
08/03/2020,3,,,,,,,
07/03/2020,7,,,,,,,
06/03/2020,4,,,,,,,
05/03/2020,1,,,,,,,
04/03/2020,9,,,,,,,
03/03/2020,6,,,,,,,
02/03/2020,10,,,,,,,
01/03/2020,1,,,,,,,
29/02/2020,3,,,,,,,
28/02/2020,5,,,,,,,
27/02/2020,2,,,,,,,
26/02/2020,2,,,,,,,
25/02/2020,0,,,,,,,
24/02/2020,0,,,,,,,
23/02/2020,0,,,,,,,
22/02/2020,0,,,,,,,
21/02/2020,0,,,,,,,
20/02/2020,1,,,,,,,
19/02/2020,0,,,,,,,
18/02/2020,1,,,,,,,
